Ampere,Leder,Fasekonfigurasjon,Beskrivelse,Pris_USD
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - End  tap box - with 500A MCCB, 4P, 50kA", $-   
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Outlet for tap-off boxes",$15.40 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Flexible set",$135.52 
500A,AL,"4W: 100%N, L3, L2, L1","XAP-B 500A, 4W - Joint",$27.72 
,,,,
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Straight length, 1 meter",$83.16 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Straight length, 3 meters max.",$249.48 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L horizontal elbow",$97.33 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L vertical elbow",$113.96 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L horizontal elbow, special angle",$107.06 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - L veritcal elbow, special angle",$125.36 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Z horizontal offset", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Z vertical offset", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Tee horizontal offset",$158.62 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Tee vertical offset",$158.62 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Switchboard/panel flange end",$103.03 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Transformer flange end", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Expansion Joint",$70.84 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End cap",$18.48 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - EMPTY", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - with 500A MCCB, 3P, 50kA", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - End  tap box - with 500A MCCB, 4P, 50kA", $-   
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Outlet for tap-off boxes",$15.40 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Flexible set",$152.46 
500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 500A, 5W - Joint",$29.26 
,,,,
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Straight length, 1 meter",$84.70 
630A,AL,"4W: 100%N, L3, L2, L1","XAP-B 630A, 4W - Straight length, 3 meters max.",$254.10 
