ID,code,qty,type,ledermateriell,ampere,element_type_1,element_type_2,element_type_3,retning,standard_element,A,B,C,U,price,Unnamed: 16,Unnamed: 17,Unnamed: 18,Headerindekser,Unnamed: 20,n,raw_row,desc_text,price_original,Reference,XCM/XCP
L11.06,64390314P-3W,1,     Al                                                                                            ,       2500A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,6568.32,,,,,,93,205,XCP-S Al 2500A horizontal elbow LH std,6705.11,ZU-64390314P-3W,"kr 6,568.32"
L11.07,6439T014P-3W,1,     Al                                                                                            ,       2500A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,10011.62,,,,,,94,206,XCP-S Al 2500A CRT board-trans feed LH std,10186.91,ZU-6439T014P-3W,"kr 10,011.62"
L12.01,64281007P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3326.13,,,,,,95,217,XCP-S Al 2000A board-trans feed RH std,3324.27,ZU-64281007P-3W,"kr 3,326.13"
L12.02,64280407P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           std                                                                     ,                                                                                                   ,                                                                                                   ,300,300,0,0,6005.61,,,,,,96,218,XCP-S Al 2000A vertical elbow RH std,6142.06,ZU-64280407P-3W,"kr 6,005.61"
L12.03,64280107P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,5953.58,,,,,,97,219,XCP-S Al 2000A feeder element L=3m,6135.91,ZU-64280107P-3W,"kr 5,953.58"
0,672EFB24,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrie                                                                           ,                        B210                                                                       ,                            AL                                                                     ,                                                                                                   ,                                                                                                   ,630,1500,0,0,3800.04,,,,,,98,220,XCP kit external fire barrie B210 AL,2915.89,ZU-672EFB24,"kr 3,800.04"
L12.04,64280127P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,4764.28,,,,,,99,221,XCP-S Al 2000A feeder element L=1501-2000,4938.85,ZU-64280127P-3W,"kr 4,764.28"
L12.05,64280117P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,3638.69,,,,,,100,222,XCP-S Al 2000A feeder element L=500-1000,3905.03,ZU-64280117P-3W,"kr 3,638.69"
L12.06,64280317P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,3936.69,,,,,,101,223,XCP-S Al 2000A horizontal elbow LH std,4080.76,ZU-64280317P-3W,"kr 3,936.69"
L12.07,6428T017P-3W,1,     Al                                                                                            ,       2000A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,5492.02,,,,,,102,224,XCP-S Al 2000A CRT board-trans feed LH std,5640.17,ZU-6428T017P-3W,"kr 5,492.02"
L13.01,64281006P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3192.76,,,,,,103,235,XCP-S Al 1600A board-trans feed RH std,3204.01,ZU-64281006P-3W,"kr 3,192.76"
L13.02,64280426P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           spec                                                                    ,                                                                                                   ,                                                                                                   ,300,300,0,0,6328.04,,,,,,104,236,XCP-S Al 1600A vertical elbow RH spec,6468.97,ZU-64280426P-3W,"kr 6,328.04"
L13.03,64280106P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,5152.57,,,,,,105,237,XCP-S Al 1600A feeder element L=3m,5383.78,ZU-64280106P-3W,"kr 5,152.57"
0,672EFB23,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrier                                                                          ,                         B190                                                                      ,                             AL                                                                    ,                                                                                                   ,                                                                                                   ,630,1500,0,0,0.00,,,,,,106,238,XCP kit external fire barrier B190 AL,0,,
L13.04,64280126P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,4188.27,,,,,,107,239,XCP-S Al 1600A feeder element L=1501-2000,4411.06,ZU-64280126P-3W,"kr 4,188.27"
L13.05,64280116P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,3329.68,,,,,,108,240,XCP-S Al 1600A feeder element L=500-1000,3581.48,ZU-64280116P-3W,"kr 3,329.68"
L13.06,64280316P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,3778.18,,,,,,109,241,XCP-S Al 1600A horizontal elbow LH std,3976.39,ZU-64280316P-3W,"kr 3,778.18"
L13.07,6428T016P-3W,1,     Al                                                                                            ,       1600A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,5390.38,,,,,,110,242,XCP-S Al 1600A CRT board-trans feed LH std,5591.26,ZU-6428T016P-3W,"kr 5,390.38"
L14.01,64281004P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            board-trans                                                                            ,                       feed                                                                        ,                           RH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,0,0,200,3109.26,,,,,,111,253,XCP-S Al 1250A board-trans feed RH std,3103.41,ZU-64281004P-3W,"kr 3,109.26"
L14.02,64280424P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            vertical                                                                               ,                    elbow                                                                          ,                         RH                                                                        ,                           spec                                                                    ,                                                                                                   ,                                                                                                   ,300,300,0,0,5954.82,,,,,,112,254,XCP-S Al 1250A vertical elbow RH spec,6096.72,ZU-64280424P-3W,"kr 5,954.82"
L14.03,64280104P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=3m                                                                      ,                                                                                                   ,                                                                                                   ,                                                                                                   ,3000,0,0,0,4381.72,,,,,,113,255,XCP-S Al 1250A feeder element L=3m,4598.04,ZU-64280104P-3W,"kr 4,381.72"
0,672EFB22,1,   kit                                                                                             ,      external                                                                                     ,              fire                                                                                 ,                  barrie                                                                           ,                        B160                                                                       ,                            AL                                                                     ,                                                                                                   ,                                                                                                   ,630,1500,0,0,0.00,,,,,,114,256,XCP kit external fire barrie B160 AL,0,,
L14.04,64280124P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=1501-2000                                                               ,                                                                                                   ,                                                                                                   ,                                                                                                   ,2000,0,0,0,3620.07,,,,,,115,257,XCP-S Al 1250A feeder element L=1501-2000,3833.67,ZU-64280124P-3W,"kr 3,620.07"
L14.05,64280114P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            feeder                                                                                 ,                  element                                                                          ,                         L=500-1000                                                                ,                                                                                                   ,                                                                                                   ,                                                                                                   ,1000,0,0,0,2894.39,,,,,,116,258,XCP-S Al 1250A feeder element L=500-1000,3082.96,ZU-64280114P-3W,"kr 2,894.39"
L14.06,64280314P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            horizontal                                                                             ,                      elbow                                                                        ,                           LH                                                                      ,                             std                                                                   ,                                                                                                   ,                                                                                                   ,300,300,0,0,3533.76,,,,,,117,259,XCP-S Al 1250A horizontal elbow LH std,3731.43,ZU-64280314P-3W,"kr 3,533.76"
L14.07,6428T014P-3W,1,     Al                                                                                            ,       1250A                                                                                       ,            CRT                                                                                    ,               board-trans                                                                         ,                          feed                                                                     ,                              LH                                                                   ,                                std                                                                ,                                                                                                   ,300,0,0,300,5045.65,,,,,,118,260,XCP-S Al 1250A CRT board-trans feed LH std,5254.5,ZU-6428T014P-3W,"kr 5,045.65"
