Ampere,Leder,Fasekonfigurasjon,Beskrivelse,Pris_USD
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - EMPTY",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 3P, 50kA",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - End  tap box - with 630A MCCB, 4P, 50kA",$0.00
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Outlet for tap-off boxes",$15.40
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Flexible set",$166.32
630A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 630A, 5W - Joint",$30.80
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 1 meter",$100.10
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Straight length, 3 meters max.",$300.30
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow",$113.96
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L vertical elbow",$133.98
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L horizontal elbow, special angle",$125.36
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - L veritcal elbow, special angle",$147.38
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z horizontal offset",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Z vertical offset",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee horizontal offset",$193.27
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Tee vertical offset",$193.27
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Switchboard/panel flange end",$122.05
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Transformer flange end",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Expansion Joint",$75.46
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End cap",$18.48
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - EMPTY",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 3P, 50kA",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - End  tap box - with 800A MCCB, 4P, 50kA",$0.00
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Outlet for tap-off boxes",$15.40
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Flexible set",$181.72
800A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 800A, 5W - Joint",$33.88
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Straight length, 1 meter",$121.66
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Straight length, 3 meters max.",$364.98
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L horizontal elbow",$132.75
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L vertical elbow",$157.08
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L horizontal elbow, special angle",$146.02
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - L veritcal elbow, special angle",$172.79
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Z horizontal offset",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Z vertical offset",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Tee horizontal offset",$265.34
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Tee vertical offset",$241.01
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Switchboard/panel flange end",$149.61
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Transformer flange end",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Expansion Joint",$81.62
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End cap",$20.02
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - EMPTY",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - with 1000A MCCB, 3P, 50kA",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - End  tap box - with 1000A MCCB, 4P, 50kA",$0.00
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Outlet for tap-off boxes",$15.40
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Flexible set",$238.70
1000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1000A, 5W - Joint",$40.04
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Straight length, 1 meter",$141.68
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Straight length, 3 meters max.",$425.04
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L horizontal elbow",$150.30
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L vertical elbow",$178.64
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L horizontal elbow, special angle",$165.33
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - L veritcal elbow, special angle",$196.50
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Z horizontal offset",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Z vertical offset",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Tee horizontal offset",$316.32
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Tee vertical offset",$287.98
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Switchboard/panel flange end",$172.79
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Transformer flange end",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Expansion Joint",$90.86
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End cap",$24.64
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - EMPTY",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - with 1250A MCCB, 3P, 50kA",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - End  tap box - with 1250A MCCB, 4P, 50kA",$0.00
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Outlet for tap-off boxes",$15.40
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Flexible set",$297.22
1250A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1250A, 5W - Joint",$49.28
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Straight length, 1 meter",$175.56
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Straight length, 3 meters max.",$526.68
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - L horizontal elbow",$183.57
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - L vertical elbow",$218.68
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - L horizontal elbow, special angle",$201.92
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - L veritcal elbow, special angle",$240.55
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Z horizontal offset",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Z vertical offset",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Tee horizontal offset",$409.33
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Tee vertical offset",$374.22
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Switchboard/panel flange end",$212.37
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Transformer flange end",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Expansion Joint",$98.56
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - End cap",$27.72
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - End  tap box - EMPTY",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - End  tap box - with 1600A MCCB, 3P, 50kA",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - End  tap box - with 1600A MCCB, 4P, 50kA",$0.00
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Outlet for tap-off boxes",$15.40
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Flexible set",$394.24
1600A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 1600A, 5W - Joint",$60.06
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Straight length, 1 meter",$243.32
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Straight length, 3 meters max.",$729.96
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - L horizontal elbow",$250.10
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - L vertical elbow",$396.09
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - L horizontal elbow, special angle",$275.11
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - L veritcal elbow, special angle",$435.70
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Z horizontal offset",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Z vertical offset",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Tee horizontal offset",$532.22
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Tee vertical offset",$629.55
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Switchboard/panel flange end",$279.20
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Transformer flange end",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Expansion Joint",$106.26
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - End cap",$33.88
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - End  tap box - EMPTY",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - End  tap box - with 2000A ACB, 3P, 50kA",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - End  tap box - with 2000A ACB, 4P, 50kA",$0.00
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Outlet for tap-off boxes",$15.40
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Flexible set",$528.22
2000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2000A, 5W - Joint",$73.92
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Straight length, 1 meter",$277.20
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Straight length, 3 meters max.",$831.60
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - L horizontal elbow",$289.52
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - L vertical elbow",$455.84
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - L horizontal elbow, special angle",$318.47
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - L veritcal elbow, special angle",$501.42
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Z horizontal offset",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Z vertical offset",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Tee horizontal offset",$617.54
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Tee vertical offset",$728.42
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Switchboard/panel flange end",$321.86
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Transformer flange end",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Expansion Joint",$113.96
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - End cap",$44.66
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - End  tap box - EMPTY",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - End  tap box - with 2500A ACB, 3P, 50kA",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - End  tap box - with 2500A ACB, 4P, 50kA",$0.00
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Outlet for tap-off boxes",$15.40
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Flexible set",$683.76
2500A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 2500A, 5W - Joint",$93.94
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Straight length, 1 meter",$344.96
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Straight length, 3 meters max.",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - L horizontal elbow",$354.51
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - L vertical elbow",$561.48
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - L horizontal elbow, special angle",$389.96
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - L veritcal elbow, special angle",$617.63
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Z horizontal offset",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Z vertical offset",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Tee horizontal offset",$802.03
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Tee vertical offset",$940.02
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Switchboard/panel flange end",$401.02
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Transformer flange end",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Expansion Joint",$133.98
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - End cap",$52.36
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - End  tap box - EMPTY",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - End  tap box - with 3200A ACB, 3P, 50kA",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - End  tap box - with 3200A ACB, 4P, 50kA",$0.00
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Outlet for tap-off boxes",$15.40
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Flexible set",$905.52
3200A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 3200A, 5W - Joint",$112.42
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Straight length, 1 meter",$434.28
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Straight length, 3 meters max.",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - L horizontal elbow",$444.44
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - L vertical elbow",$705.01
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - L horizontal elbow, special angle",$488.89
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - L veritcal elbow, special angle",$775.51
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Z horizontal offset",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Z vertical offset",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Tee horizontal offset",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Tee vertical offset",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Switchboard/panel flange end",$501.58
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Transformer flange end",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Expansion Joint",$160.16
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - End cap",$63.14
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - End  tap box - EMPTY",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - End  tap box - with 4000A ACB, 3P, 50kA",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - End  tap box - with 4000A ACB, 4P, 50kA",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Outlet for tap-off boxes",$15.40
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Flexible set",$0.00
4000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 4000A, 5W - Joint",$135.52
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Straight length, 1 meter",$588.28
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Straight length, 3 meters max.",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - L horizontal elbow",$581.50
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - L vertical elbow",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - L horizontal elbow, special angle",$639.65
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - L veritcal elbow, special angle",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Z horizontal offset",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Z vertical offset",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Tee horizontal offset",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Tee vertical offset",$0.00
5000A,AL,"5W: 100%N, L3, L2, L1, 50%PE","XAP-B 5000A, 5W - Switchboard/panel flange end",$674.06
